ObjectId	ISO2	ISO3	Indicator	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
161	CA	CAN	TOTAL	1	1	1	1	1	2	4	3	2	2	1	1	2	1	3	4	2	3	3	3	1	2	2	7	4	5	5	3	2	3	1	4	3	3	2	1	2	3	4	2	2	4	6
162	CA	CAN	Wildfire	1					1	2			1			1		1	2		1	1	1		1	1	1		2						1				1	1	1	1			1	
163		SPI	Extreme temperature																									1																		
164		SPI	Flood																						1	1																				
165		SPI	Storm																				1						1																	
166		SPI	TOTAL																				1		1	1		1	1		1															
167		SPI	Wildfire																												1															
168	KY	CYM	Storm																						1	2		2				2														
169	KY	CYM	TOTAL																						1	2		2				2														
170	CF	CAF	Drought				1																																							1
171	CF	CAF	Flood																1	1		1	2				1	1	1		1	1	1	1	1		1				1		1		1	1
172	CF	CAF	Storm		1																				1								2		1	2	1		1		1					
173	CF	CAF	TOTAL		1		1												2	1		1	2		1	1	1	1	1		1	1	3	1	2	2	2		1		2		1		1	3
174	CF	CAF	Wildfire																1							1																				1
175	TD	TCD	Drought	1													1				1				1								1			1					1					1
176	TD	TCD	Flood						1			1			1				1			1	1		1					1	2	2	2	1		2							1	2	1	1
177	TD	TCD	Landslide																																								1			
178	TD	TCD	Storm									1																			1															
179	TD	TCD	TOTAL	1					1			2			1		1		1		1	1	1		2					1	3	2	3	1		3					1		2	2	1	2
180	CL	CHL	Drought												1																															
181	CL	CHL	Extreme temperature																1					1		1		1			1			1	1		1									
182	CL	CHL	Flood			1				1	2		1	1			1		1		1			2	3	3		1	2	1		2				1		1	2	1	3		1		1	
183	CL	CHL	Landslide								1				1																										1					
184	CL	CHL	Storm					2		1						2					2				1				1										1						1	
185	CL	CHL	TOTAL			1		2		2	3		1	1	2	3	2		2		4		1	3	4	5	1	2	3	1	1	2		1	3	2	1	2	4	1	5		2		2	2
186	CL	CHL	Wildfire													1	1				1		1			1	1								2	1		1	1		1		1			2
187	HK	HKG	Drought		1		1																																							
188	HK	HKG	Extreme temperature								1																																			
189	HK	HKG	Flood			1	1		2		1		1			1		1			1								1																	
190	HK	HKG	Landslide			1											1																													
191	HK	HKG	Storm	2		1	2		1	2		1	2		1	2	6				1		1				2					3	1	1							2	1			2	
192	HK	HKG	TOTAL	2	1	4	4		3	2	2	1	3		1	3	7	1			2		1				2		1			3	1	1							2	1			2	
193	HK	HKG	Wildfire			1																																								
194	MO	MAC	Storm														4																								2					
195	MO	MAC	TOTAL														4																								2					
196	CN	CHN	Drought				1		1			1			1	2		2	1		1		1	3	2	3	2		2	1		1	2	1			1	2	1	1	1				1	1
